Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status,Age,Pieces,Rating,Rating Count
lego-77243-lego-speed-champions-77243-oracle-red-bull-racing-rb20-f1-race-car-age-18-building-blocks-2025-251pcs,"LEGO Speed Champions 77243 Oracle Red Bull Racing RB20 F1 Race Car, Age 18+, Building Blocks, 2025 (251pcs)","F1® Red Bull vehicle for adults – LEGO® Speed Champions Oracle Red Bull Racing RB20 F1 Race Car buildable model for Red Bull and Formula 1® fans Explore authentic F1® Red Bull details – This F1 race car features design details from the real-life 2024 version, including a rear wing, halo bar and wider rear tires imprinted with “Pirelli” F1® minifigure – The vehicle kit includes an F1 driver minifigure wearing a Red Bull outfit and a winged helmet to place inside the F1 race car’s cockpit F1® fun for all the family – Race for the checkered flag alongside the whole family with other building sets (sold separately) in the LEGO® F1 range F1® race car display model – After you’ve enjoyed a rewarding building experience, this Red Bull F1 car can be proudly displayed at home or in the office Formula 1® gift – This premium F1® merchandise is a great LEGO® gift idea for adult builders and fans of the Red Bull F1 racing team who want to enjoy an immersive and rewarding project F1® race car display model – After you’ve enjoyed a rewarding building experience, this Red Bull F1 car can be proudly displayed at home or in the office Formula 1® gift – This premium F1® merchandise is a great LEGO® gift idea for adult builders and fans of the Red Bull F1 racing team who want to enjoy an immersive and rewarding project Build and display iconic vehicles – LEGO® Speed Champions sets let car lovers create brick-built versions of some of the world’s most famous vehicles Measurements – A 251-piece car playset featuring a Red Bull Formula 1® car model that measures over 1.5 in. (4 cm) high, 8 in. (20 cm) long and 3 in. (7 cm) wide",LEGO,Speed Champions,Speed Champions,TRUE,Title,Default Title,77243,5702017816104,shopify,0,deny,manual,1999.00,,TRUE,TRUE,,,active,18+,251,,
lego-10328-lego-icons-10328-bouquet-of-roses-age-18-building-blocks-2023-822pcs,"LEGO Icons 10328 Bouquet of Roses, Age 18+, Building Blocks, 2023 (822pcs)","• Buildable home decor bouquet – Indulge yourself or join friends and family for a mindful project with the LEGO® Icons Bouquet of Roses building set for adults
• What’s in the box – This creative building set includes everything you need to craft a dozen red roses with long green stems, plus 4 sprigs of baby’s breath with small white flowers
• Blooming buds – The LEGO® Icons Bouquet of Roses building kit depicts roses captured at various stages of flowering, including 4 roses in full bloom, 4 blossoming and 4 in bud
• A faux flower display – Add a splash of color to your home or office with this zero-maintenance bouquet of roses
• Valentine’s Day gift idea – Celebrate a birthday or any special occasion, or surprise a loved one with a gift designed for adult fans of LEGO® building sets, home decor and flowers
• Build solo or with friends and family – This LEGO® Icons set comes with 6 brick bags and separate instructions for the 3 stages of flowering so it can be built as a solo or group project
• Part of the LEGO® Botanical Collection – Discover a space for relaxation with the wide range of LEGO construction sets designed specifically for adults
• Dimensions – The tallest rose in this 822-piece building set measures over 12 in. (31 cm) long",LEGO,Icons,Icons,TRUE,Title,Default Title,10328,5702017583488,shopify,0,deny,manual,4499.00,,TRUE,TRUE,,,active,18+,822,,
lego-77242-lego-speed-champions-77242-ferrari-sf-24-f1-race-car-age-10-building-blocks-2025-275pcs,"LEGO Speed Champions 77242 Ferrari SF-24 F1 Race Car, Age 10+, Building Blocks, 2025 (275pcs)","Ferrari F1® toy vehicle for kids – Boys and girls aged 10 and up and Ferrari fans can build, display and race the LEGO® Speed Champions Ferrari SF-24 F1 Race Car and driver set 1 minifigure – This vehicle set includes a driver minifigure wearing a special Ferrari outfit and a winged helmet for kids to place inside the cockpit and role-play thrilling race action Authentic Ferrari details – F1® race car with design details from the real-life 2024 version, including a rear wing, a halo bar, sponsor stickers and wider rear tires imprinted with “Pirelli” F1® fun for all the family – Race for the checkered flag alongside the whole family with other building sets (sold separately) in the LEGO® F1 range F1® race car toy display model – After kids have enjoyed playing out racing stories with the Ferrari F1 toy, they can display it on a shelf or bedside table F1® gift idea – This premium Ferrari F1 merchandise provides a fun build-and-play experience and is a great LEGO® gift idea for kids aged 10 and up and adult car-model collectors F1® race car toy display model – After kids have enjoyed playing out racing stories with the Ferrari F1 toy, they can display it on a shelf or bedside table F1® gift idea – This premium Ferrari F1 merchandise provides a fun build-and-play experience and is a great LEGO® gift idea for kids aged 10 and up and adult car-model collectors Build iconic car models – LEGO® Speed Champions sets let kids and car lovers create brick-built versions of some of the world’s most famous vehicles Measurements – A 275-piece vehicle kit featuring a Ferrari SF-24 F1® toy car that measures over 1.5 in. (4 cm) high, 8 in. (20 cm) long and 3 in. (7 cm) wide",LEGO,Speed Champions,Speed Champions,TRUE,Title,Default Title,77242,5702017816098,shopify,0,deny,manual,1999.00,,TRUE,TRUE,,,active,10+,275,,
lego-77255-lego-speed-champions-77255-lightning-mcqueen-270-pieces-building-blocks,"LEGO Speed Champions 77255 Lightning McQueen (270 pieces), Building Blocks","LIGHTNING McQUEEN FROM DISNEY PIXAR CARS – Kids ages 9 and up can celebrate the 20th anniversary of the movie Cars with this LEGO® Speed Champions | Lightning McQueen (77255) car toy building set
AUTHENTIC DESIGN – Model includes details from the movie version, including the lightning bolt, his headlight stickers, number 95, Rust-Eze sponsor logo and Lightyear logo imprinted on the tires
DETAILED UNDERCARRIAGE – This Lightning McQueen model is the only LEGO® Speed Champions car with a detailed undercarriage for extra play value
DISNEY PIXAR CARS DISPLAY SET – After kids have enjoyed a rewarding build with this collectible Lightning McQueen toy building set, they can proudly display it on a shelf, desk or bedside table
CAR GIFT FOR KIDS – This Lightning McQueen model provides a fun build-and-play experience and is a great gift idea for kids, boys and girls ages 9 and up, nostalgic adults or movie fans
EXPAND THE RACING FUN – Discover more LEGO® Speed Champions car building sets (sold separately) packed with authentic details
ICONIC CARS FOR PLAY AND DISPLAY – LEGO® Speed Champions car building kits let kids and passionate car fans build replica versions of some of the world’s most famous vehicles
DIMENSIONS – A 270-piece LEGO® construction set featuring a Lightning McQueen toy building set measuring over 1.5 in. (4 cm) high, 5.5 in. (14 cm) long and 3 in. (7 cm) wide",LEGO,Speed Champions,Speed Champions,TRUE,Title,Default Title,77255,5702018068212,shopify,0,deny,manual,2099.00,,TRUE,TRUE,,,active,9+,270,,
lego-77244-lego-speed-champions-77244-mercedes-amg-f1-w15-race-car-age-10-building-blocks-2025-267pcs,"LEGO Speed Champions 77244 Mercedes-AMG F1 W15 Race Car, Age 10+, Building Blocks, 2025 (267pcs)","Mercedes-AMG PETRONAS F1® Team toy vehicle for kids – LEGO® Speed Champions Mercedes-AMG PETRONAS F1 Team Race Car vehicle set for boys and girls aged 10 and up to build, display and race 1 driver minifigure – This car playset includes a driver minifigure wearing a Mercedes-AMG PETRONAS F1® Team outfit and a winged helmet for kids to place inside the cockpit for role-play race action Authentic Mercedes-AMG PETRONAS F1® Team details – The F1 race car features design details from the real-life 2024 version, including sponsor stickers and wider rear tires imprinted with “Pirelli” F1® fun for all the family – Race for the checkered flag alongside the whole family using other building sets (sold separately) in the LEGO® F1 range F1® race car display model – After kids have enjoyed playing out racing stories with the Mercedes-AMG PETRONAS F1 Team toy, they can display it on a shelf or bedside table F1® gift idea – This premium F1 race car model provides a fun build-and-play experience and is a great LEGO® gift idea for kids aged 10 and up and adult car-model collectors F1® race car display model – After kids have enjoyed playing out racing stories with the Mercedes-AMG PETRONAS F1 Team toy, they can display it on a shelf or bedside table F1® gift idea – This premium F1 race car model provides a fun build-and-play experience and is a great LEGO® gift idea for kids aged 10 and up and adult car-model collectors Play with and display iconic buildable cars – LEGO® Speed Champions sets let kids and car lovers create brick-built versions of some of the world’s most famous vehicles Measurements – A 267-piece car playset featuring a Mercedes-AMG PETRONAS F1® Team race car that measures over 1.5 in. (4 cm) high, 8 in. (20 cm) long and 3 in. (8 cm) wide",LEGO,Speed Champions,Speed Champions,TRUE,Title,Default Title,77244,5702017816111,shopify,0,deny,manual,1999.00,,TRUE,TRUE,,,active,10+,267,,
lego-77256-lego-speed-champions-77256-time-machine-from-back-to-the-future-357-pieces-building-blocks,"LEGO Speed Champions 77256 Time Machine from Back to the Future (357 pieces), Building Blocks","BACK TO THE FUTURE TOY CAR – LEGO® Speed Champions Time Machine from Back to the Future model car kit for boys and girls ages 9 and up to build, display and recreate movie scenes
2 MINIFIGURES – This Back to the Future toy comes with 2 characters from the movie franchise: Doc Brown and Marty McFly to place inside the cockpit and enjoy role play
2 PLAY OPTIONS – The car toy has a lightning hook from the first movie, or it can be rebuilt into flying mode with sideways wheels and Mr. Fusion from the second movie
AUTHENTIC DETAILS – Iconic model car features details from the movie version including rear air vents, cockpit, the flux capacitor, time calculator and so much more
BACK TO THE FUTURE GIFT – This Back to the Future merchandise provides a fun build-and-play experience and is a great gift idea for kids, movie fans and nostalgic adults
EXPAND THE FUN – Discover more LEGO® Speed Champions car playsets (sold separately) packed with authentic details
ICONIC CARS FOR PLAY AND DISPLAY – LEGO® Speed Champions car building kits let kids and passionate car fans build replica versions of some of the world’s most famous vehicles
DIMENSIONS – A 357-piece playset featuring a Back to the Future car model measuring over 4 in. (10 cm) high, 6.5 in. (17 cm) long and 2.5 in. (7 cm) wide",LEGO,Speed Champions,Speed Champions,TRUE,Title,Default Title,77256,5702018068229,shopify,0,deny,manual,2099.00,,TRUE,TRUE,,,active,9+,357,,
lego-77241-lego-speed-champions-77241-2-fast-2-furious-honda-s2000-age-9-building-blocks-2025-300pcs,"LEGO Speed Champions 77241 2 Fast 2 Furious Honda S2000, Age 9+, Building Blocks, 2025 (300pcs)","• Fast and Furious model for kids – LEGO® Speed Champions 2 Fast 2 Furious Honda S2000 convertible car model for boys and girls aged 9 and up and movie fans to build, display and stage racing action
• 1 minifigure – Pink race car toy comes with a Suki minifigure character for kids to place behind the wheel and recreate scenes from the iconic 2 Fast 2 Furious movie
• Authentic Honda and Fast and Furious details – Honda S2000 convertible race car model features interior TV monitor, rear wing, grille, wheels and distinctive anime-style graphics across the bodywork
• LEGO® Fast and Furious race car display model – After kids have raced the buildable model car, they can display it on a shelf or desk
• Fast and Furious gifts – Car model kit provides a fun build-and-play experience and is a gift idea for kids aged 9 and up, movie fans and adult car-model collectors
• A fun way to build – Let the LEGO® Builder app guide kids on an intuitive building adventure, where they can save sets, track progress and zoom in and rotate models in 3D while they build
• Iconic car models for play and display – LEGO® Speed Champions building sets let kids and passionate car fans build replica versions of some of the world’s most iconic vehicles
• Measurements– This 300-piece buildable car model measures over 1.5 in. (4 cm) high, 6.5 in. (16 cm) long and 2.5 in. (7 cm) wide",LEGO,Speed Champions,Speed Champions,TRUE,Title,Default Title,77241,5702017836416,shopify,0,deny,manual,1999.00,,TRUE,TRUE,,,active,9+,300,,
lego-77252-lego-speed-champions-77252-apxgp-team-race-car-from-f1-the-movie-268-pieces-building-blocks,"LEGO Speed Champions 77252 APXGP Team Race Car from F1 The Movie (268 pieces), Building Blocks","F1® THE MOVIE TOY CAR – LEGO® Speed Champions APXGP Team Race Car from F1® The Movie model car kit (77252) for boys and girls ages 10 plus to build, display and use to recreate movie scenes
2 F1® DRIVER MINIFIGURES – Race car model kit with 2 minifigure characters from F1® The Movie: Sonny Hayes and Joshua Pearce, who both come with helmets featuring their signatures
AUTHENTIC DETAILS – F1® toy car features design details from the movie car including its black and gold livery, sponsor stickers and wider rear tires imprinted with ‘Pirelli’
TEEN ROOM DÉCOR – After boys and girls have enjoyed a rewarding build, they can proudly display this Formula 1® car in their room on a shelf, desk or bedside table
FORMULA 1® GIFT – This F1® gift provides a fun build-and-play experience and is a gift idea for kids and fans of F1 and movies
EXPAND THE CAR FUN – Discover more LEGO® Speed Champions car playsets (sold separately) packed with authentic details
ICONIC CARS FOR PLAY AND DISPLAY – LEGO® Speed Champions car building kits let kids and passionate car fans build replica versions of some of the world’s most famous vehicles
DIMENSIONS – 268-piece playset featuring an F1® car toy measuring over 1.5 in. (4 cm) high, 8 in. (20 cm) long and 3 in. (7 cm) wide",LEGO,Speed Champions,Speed Champions,TRUE,Title,Default Title,77252,5702018068175,shopify,0,deny,manual,2099.00,,TRUE,TRUE,,,active,10+,268,,
lego-76917-lego-speed-champions-76917-2-fast-2-furious-nissan-skyline-gt-r-r34-age-9-building-blocks-2023-319pcs,"LEGO Speed Champions 76917 2 Fast 2 Furious Nissan Skyline GT-R (R34), Age 9+, Building Blocks, 2023 (319pcs)","• Fast & Furious car toy – LEGO® Speed Champions 2 Fast 2 Furious Nissan Skyline GT-R (R34) model (76917) for kids, car enthusiasts and fans of the 2 Fast 2 Furious movie
• 1 minifigure – The street racer model comes with a Brian O’Conner minifigure for kids to place behind the wheel and recreate thrilling scenes from the famous movie franchise
• Authentic details – The model includes details inspired by the real-life version: iconic stripes on the side, a wing at the back, a grille on the front and engine components on the passenger seat
• Play-and-display LEGO® car – This Nissan Skyline model provides a fun build and can be shown off on display or used to stage racing action
• Collectible LEGO® gift – This 319-piece Speed Champions model kit can be given as a birthday gift or unexpected treat to kids aged 9+, car enthusiasts and fans of the Fast & Furious movies
• Portable size – The 2 Fast 2 Furious Nissan Skyline GT-R (R34) model measures over 2 in. (5 cm) high, 6.5 in. (16 cm) long and 2.5 in. (7 cm) wide and can be played with at home or taken on the go
• Digital building experience – Kids can see their models come to life on their tablets or smartphones as they construct their model using the LEGO® Builder app
• Premium quality – For more than 6 decades, LEGO® bricks have been made to ensure they pull apart consistently every time
• Safety assurance – LEGO® building bricks meet stringent global safety standards",LEGO,Speed Champions,Speed Champions,TRUE,Title,Default Title,76917,5702017424217,shopify,0,deny,manual,1999.00,,TRUE,TRUE,,,active,9+,319,,
lego-11508-lego-botanicals-11508-daisies-133-pieces-building-blocks,"LEGO Botanicals 11508 Daisies (133 pieces), Building Blocks","FLOWER DECOR – Encourage kids’ love for flowers with this LEGO® Botanicals Daisies (11508) building set for girls and boys ages 9 and up, which is packed with details and becomes floral bedroom decor
LEGO® FLOWER BOUQUET – Budding florists will have fun building 3 large daisies, 2 stems of small daisies, 3 calming lavenders and vibrant green stems
NATURE DETAILS – The LEGO® daisy flowers are highly detailed and authentic and, if you look closely, you’ll spot a small ladybug on one of the lavender stems
PLANTS DECOR – Once kids have enjoyed building the decorative flowers, they can arrange them (vase not included) and display them proudly as bedroom or desk decor
FLORAL GIFT IDEA FOR KIDS – The building set makes a fun gift for girls and boys on birthdays and special occasions, as well as a housewarming gift for flower lovers
BOTANICALS COLLECTION – Build more blooms with other building sets (sold separately) in the LEGO® Botanicals range, where you’ll find roses, cherry blossoms, sunflowers and more
LEGO® FLOWER SETS – Building sets in the LEGO Botanicals collection let girls’, boys’ and budding gardeners’ imaginations blossom as they learn more about plants
DIMENSIONS – The set contains 133 pieces and the larger daisy measures over 7.5 in. (20 cm) tall, while the smaller daisy measures over 6.5 in. (16 cm) tall",LEGO,Botanicals,Botanicals,TRUE,Title,Default Title,11508,5702018061831,shopify,0,deny,manual,1199.00,,TRUE,TRUE,,,active,9+,133,,
